Id | Name | Description | Properties 属性名 | 补充说明 | 缺失数据 | 缺失数据0515new | 安卓缺失数据0529 | ios缺失数据0606 | DI TABLE：统一在 hab_app_events
97 | game_enter_complete | 记录用户在所有渠道点击start/play按钮后游戏加载完毕(用户在游戏里)的时间。 | { user_id :<int> , type : <int>, status : <int>, game_id: <int>, room_type : <int> , session_id: <int>, host_id: <int>, number:<int>，不支持小数 amount：<float>， 可以传小数 1027新增 content: <string> } | 参数和 id=3:game_enter 参数相同的，含义保持一致 number:加载时间 amount:加载时间，可以传小数，0701后新版本 = game enter complete timestamp - game enter timestamp android 1.17.1 (859) number 字段已经上传了客户端当前时间，没有传时间差过来 0701后新版使用amount代替number 0807： amount:<float>毫秒 0912: type=19: Editor's Choice (从play页面的Editor's Choice点击游戏) 1027新增 content:<string> 每种数据通过 ｜间隔 格式: packet loss (丢包率%) | download bandwidth (下载带宽Mbps) | round trip time (往返延迟时间毫秒) | latency (延时长毫秒) 例子: “0.15 | 20 | 1000 | 2000” 表示: packet loss = 15%, download bandwidth = 20Mbps, round trip time = 1000ms, latency = 2000ms |  |  |  |  | 
0626 |  |  |  |  |  |  |  |  | 
98 | loading_page | 记录用户在landing page画面出现 |  | device_id:为固定参数 |  |  |  |  | 
0718 | 以下为新增埋点，原有埋点也有部分修改，可查找 0718 关键字 |  |  |  |  |  |  |  | 
99 | profile_click | 在social panel 点击profile icon | { user_id:<int>, game_id: <int>, country:<string> gender:<int> type: <int>, session_id: <int>, other_device_id:<string> other_user_id:<int> other_gender:<int> other_country:<string> content:<string> ｝ | type: ( 0723修改 ) 1: social_panel 2: friends_panel 3: public_feeds_panel 4: ranking_panel 5: community_panel 6: friends_chatroom 0926： 7：pk中头像点击 gender: <int> & other_gender: <int> 0: female 1: male content： situation icon of profile |  |  |  |  | hab_app_events
100 | panel_click | click any panel (i.e. friends, feeds, leaderboard, chat box) 点击任意面板（例如：好友面板、动态面板、排行榜、聊天框） | { user_id:<int>, game_id: <int>, country:<string> type: <int>, session_id: <int>, 0722新加 room_type:<int> ｝ | type: （ 0723 修改） 1: friends 2: public_feed 3: leaderboard 4: chat box 0722新加 room_type: 聊天房间id，chatroom_id |  |  |  |  | hab_app_events
101 | close_click | click the top right cross button in friends panel 点击好友面板右上角的叉号按钮。 | { user_id:<int>, game_id: <int>, country:<string> type: <int>, session_id: <int>, 0722新加 room_type:<int> ｝ | type: 1: social_panel 2: friends_panel （0723修改） 3: feeds_panel 3: public_feeds_panel （ 0722修改 ） 4: leaderboard_panel 5: chatbox_panel 4: ranking_panel 5: community_panel 6: friends_chatroom 7: profile_panel 8: send_gift_panel 9: friend_request_panel （0723修改） 10: greetings_panel 10: private_feeds_panel 11: select_recipients_panel 12: invite_friends_panel 13: settings_panel 0722新加 room_type: 聊天房间id，chatroom_id |  |  |  |  | hab_app_events
102 | blank_space_click | click any blank space around the social panel 点击社交面板周围的任意空白区域 | { user_id:<int>, game_id: <int>, country:<string> type: <int>, session_id: <int>, 0722新加 room_type:<int> ｝ | type: 1: social_panel 2: friends_panel （0723修改） 3: feeds_panel 3: public_feeds_panel 4: leaderboard_panel 5: chatbox_panel 6: friends_chatroom 7: profile_panel 8: send_gift_panel 9: friend_request_panel （0723修改） 10: greetings_panel 10: private_feeds_panel 11: select_recipients_panel 12: invite_friends_panel 13: settings_panel 0722新加 room_type: 聊天房间id，chatroom_id |  |  |  |  | hab_app_events
103 | unfriend_click | profile_panel click the unfriend button 点击解除好友关系按钮 | { user_id:<int>, game_id: <int>, country:<string> gender:<int> other_device_id:<string> other_user_id:<int> other_gender:<int> other_country:<string> session_id: <int>, ｝ | gender: <int> & other_gender: <int> 0: female 1: male |  |  |  |  | hab_app_events
104 | send_click | profile_panel send_gift_panel click the send button in profile panel 点击个人资料面板中的发送按钮 | { user_id:<int>, game_id: <int>, country:<string> gender:<int>, type:<int>, panel:<int>, number:<int> other_device_id:<string> other_user_id:<int> other_gender:<int> other_country:<string> session_id: <int>, status:<int> 0722 content:<string> ｝ | type: <int> 1: 公共房间 2: 私人房间 panel: <int> 1: profile_panel 2: send_gift_panel number：（greetings） 1: Hey :) 2: First time seeing you here 3: Fun game :) 4: Let's be game buddies? 5: Waving hand 6: Smiley face 7: Red rose 8: Heart with wings gender: <int> & other_gender: <int> 0: female 1: male status: 0: registered user 1: non-registered user 0722 content:<string>，other_user_ids，收礼人员可能有多个，使用数组字符串 ‘[123, 456]’ |  |  |  |  | hab_app_events
105 | toolbox_alert_click | click the toolbox alert | { user_id:<int>, game_id: <int>, country:<string> gender:<int>, type:<int>, session_id: <int>, ｝ | 0723 删除 type: 1: friend_message 2: friend_gift 3: friend_request 4: greetings |  |  |  |  | hab_app_events
106 | reply_click | feeds_panel click the reply button in feeds panel enter friends_chatroom 点击动态面板中的回复按钮，进入好友聊天室 | { user_id:<int>, game_id: <int>, country:<string> gender:<int>, other_device_id:<string> other_user_id:<int> other_gender:<int> other_country:<string> session_id: <int>, ｝ | gender: <int> & other_gender: <int> 0: female 1: male |  |  |  |  | hab_app_events
107 | accept_click | friend_request_panel click the accept button in friend_request_panel after clicking the friend_request toolbox alert 在点击好友请求工具箱提醒后，点击好友请求面板中的接受按钮 | { user_id:<int>, game_id: <int>, country:<string> gender:<int>, other_device_id:<string> other_user_id:<int> other_gender:<int> other_country:<string> session_id: <int>, 0811 panel: <int> ｝ | gender: <int> & other_gender: <int> 0: female 1: male 0811 panel: <int> 1:friend request panel (inside game) 2: add friend panel (add button inside play page) 3: friend request inbox (inside inbox > friend request) |  |  |  |  | hab_app_events
108 | ignore_click | friend_request_panel click the ignore button in friend_request_panel after clicking the friend_request toolbox alert 在点击好友请求工具箱提醒后，点击好友请求面板中的忽略按钮 | { user_id:<int>, game_id: <int>, country:<string> gender:<int>, other_device_id:<string> other_user_id:<int> other_gender:<int> other_country:<string> session_id: <int>, 0811 panel: <int> ｝ | gender: <int> & other_gender: <int> 0: female 1: male 0811 panel: <int> 1:friend request panel (inside game) 2: add friend panel (reject slide button inside play page) |  |  |  |  | hab_app_events
109 | gift_select | 在礼物面板中点击礼物 | { user_id:<int>, game_id: <int>, country:<string> gender:<int>, type :< int > session_id: <int>, gift_id:<int>, status:<int> ｝ | gift_id:礼物id type: <int> 1: 公共房间 2: 私人房间 gender: <int> 0: female 1: male status: 1：余额足够 2：余额不足 |  |  |  |  | hab_app_events
110 | recipients_expand | 私人房间中点击"99+"查看更多好友 | { user_id:<int>, game_id: <int>, country:<string> gender:<int>, session_id: <int>, ｝ | gender: <int> 0: female 1: male |  |  |  |  | hab_app_events
111 | recipients_select | 私人房间中点击任何好友作为收礼对象 | { user_id:<int>, game_id: <int>, country:<string> gender:<int>, other_device_id:<string> other_user_id:<int> other_gender:<int> other_country:<string> session_id: <int>, 0722 panel: <int> ｝ | gender: <int> & other_gender: <int> 0: female 1: male 0722 panel: <int> 0: send_gift_panel 1: select_recipients_panel |  |  |  |  | hab_app_events
112 | social_setting | social面板底部设置按钮"..."的点击进入settings_panel | { user_id:<int>, game_id: <int>, country:<string> gender:<int>, session_id: <int>, type :< int > ｝ | type: <int> 0: 官方房间 1: 公共房间 2: 私人房间 gender: <int> & other_gender: <int> 0: female 1: male |  |  |  |  | hab_app_events
113 | live_push | 设置面板实时消息开关切换 | { user_id:<int>, game_id: <int>, country:<string> gender:<int>, session_id: <int>, type :< int > ｝ | type: <int> 0: 关闭 1: 打开 gender: <int> & other_gender: <int> 0: female 1: male |  |  |  |  | hab_app_events
114 | social_mute | 点击social面板底部静音按钮 | { user_id:<int>, game_id: <int>, country:<string> gender:<int>, session_id: <int>, type :< int > ｝ | type: <int> 0: 关闭 1: 打开 gender: <int> & other_gender: <int> 0: female 1: male |  |  |  |  | hab_app_events
115 | return_click | All panels except social panel click the top left left arrow button in friends panel | { user_id:<int>, game_id: <int>, country:<string> session_id: <int>, panel: <int> room_type:<int> ｝ | room_type: 聊天房间id，chatroom_id panel: 2: friends_panel 3: public_feeds_panel 4: ranking_panel 5: community_panel 6: friend_chatroom 7: profile_panel 8: send_gift_panel 9: friend_request_panel 10: private_feeds_panel 11: select_recipients_panel 12: invite_friends_panel |  |  |  |  | 
116 | copy_invitation_click | invite_friends_panel click the copy invitation link in invite_friends_panel and add friends page 0905 | { user_id:<int>, game_id: <int>, country:<string> gender:<int>, session_id: <int>, type :< int > 0905 status: <int> ｝ | type 房间类型 0: 官方房间 1: 公共房间 2: 私人房间 gender: <int> 0: female 1: male 0905 status: <int> 1: 在游戏内点击蓝色link icon 2: 在游戏外加好友页面点击蓝色link icon |  |  |  |  | 
0728 | 以下为新增埋点，原有埋点也有部分修改，可查找 0728 关键字 |  |  |  |  |  |  |  | 
117 | inbox_click | 用户在inbox页面点击情况 | { user_id:<int>, type :< int > ｝ | type: <int> 1: 点击friend request 0822 2: 点击activity |  |  |  |  | 
118 | game_video_load_complete | 游戏视屏加载完毕 加载完毕定义：视屏动画开始动 | { user_id:<int>, game_id: <int>, type :< int >, amount：<number> ｝ | type: <int> 1: 横屏 2: 竖屏 amount: <float> 游戏视屏加载时间 (毫秒) |  |  |  |  | 
0811 | 以下为新增埋点，原有埋点也有部分修改，可查找 0811 关键字 |  |  |  |  |  |  |  | 
119 | dismiss_click | dismiss 按钮在inbox>friend request里，accept按钮的左边 | { user_id:<int>, game_id: <int>, other_user_id:<int> } |  |  |  |  |  | 
0813 | 每个event都需要添加，可查找关键字 0813 |  | { network_type:<String> cdn_ip:<String> } | network_type：网络情况4g/5g/wifi, cdn_ip：解析CDN得到的ip地址 |  |  |  |  | 
120 | send_noti_outside_app | 在app外通知用户 | { user_id:<int>, type :< int >, ｝ | type: <int> 1: 没spin或没领卡： Your $100 is waiting. Go now 2: 用户中奖后未完成任务： ("New User Gift! Only XXh Left - Complete Tasks To Get $100) 3: 任务已完成： Congrats! You've completed a task: XXXX 0822 4: 任务过期：New user task has expired! You lost $100 reward. |  |  |  |  | 
121 | alert_banner | 1029修改 在 游戏里 顶部弹出的新消息 | { user_id:<int>, game_id: <int>, type :< int >, session_id: <int>, status: <int>, 1029新加 number:<int> ｝ | type: <int> 消息类型 1: 好友送礼给你 (游戏里） 2: Congratulations! You have unlocked 1 spin worth $100 (游戏里） 3: 用户中奖后未完成任务： ("New User Gift! Only XXh Left - Complete Tasks To Get $100) (游戏外) 4: 任务已完成： Congrats! You've completed a task: XXXX (游戏外) 1029新增 5:完成任务1 9:突成任多3 8: 完成任务4 9: 完成任务5 10:完成任务6 11:完成任务7 12:完成任务8 13: 完成任务9 14： Hurry Spin Now! （1031新增） status: <int> 1: 游戏里 2: 游戏外 1029新加 number: <int> 1:展示 2: 点击view按钮 点击view/claim按钮 （1031修改） |  |  |  |  | 
122 | spin_wheel_page | 转轮页面 H5 | { user_id:<int>, game_id: <int>, type :< int >, session_id: <int>, status: <int> ｝ | type:<int> 0822 1: 点击spin按钮 2: 点击右上角X (关闭spin_wheel_page) 1: 点击spin绿按钮 2: 点击整个转盘 3: 点击右上角X (关闭spin_wheel_page) 0902: 4:进入spin页面 status: <int> 渠道 1: 从游戏房进入 0822 2: 从inbox-activity进入 3: 从mepage进入 2. 从play页-小铃铛activity进入 3. 从play page-转盘进入 // 1: 从游戏房进入 // 2: 从play进入 (play> activity > 点击check按钮) // 3: 从play page进入 // 4: 从alert_banner进入 / / 5: 新用户自动打开 1120新增 6：荣耀榜 7：app外push notification |  |  |  |  | 
123 | gift_card_page | 选礼品卡页面 H5 | { user_id:<int>, game_id: <int>, type :< int >, session_id: <int>, 0822 status: <int> ｝ | type:<int> 1: 进入gift_card_page 2: 点击redeem按钮 3: 点击右上角X (关闭gift_card_page) 0822 status: <int> 1: 从activity 进入 |  |  |  |  | 
124 | sign_up_page | 注册页面 | { user_id:<int>, game_id: <int>, type :< int >, session_id: <int>, status: <int> ｝ | type:<int> 1: 点击sign_in_with_apple按钮 2: 点击sign_in_with_google按钮 3: 点击右上角X (关闭sign_up_page) 1021新增 4：进入注册页面 1031新增 5:点击邮箱登入按钮(Android) status: <int> 渠道 1: 从游戏房进入 2: 从inbox进入 3: 从mepage进入 1106新增 4: 转盘页中奖后自动跳转 5: 完成gamification任务后自动跳转 260212新增 6-游客第一次玩游戏后自动弹出 |  |  |  |  | 
125 | complete_task_page | 任务页面 H5 | { user_id:<int>, game_id: <int>, type :< int >, session_id: <int>, status: <int>， 1106新增 game_id: <int>, number:<int> ｝ | type:<int> 1106删除 & 修改 1: 点击"Play 1 game for 5 min"按钮 点击任务1 2: 点击"Add 3 new friends" 按钮 点击任务2 3: 点击"Invite 1 user to sign up" 按钮 点击任务3 4: 点击"Invite 3 user to sign up"按钮 点击任务4 5: 点击"Play 3 games, 5 min each" 按钮 点击任务5 6: 点击"Send gifts worth 50 coins" 按钮 7: 点击"Invite 5 users to sign up"按钮 8: 点击"Play 5 games, 5 min each" 按钮 9: 点击"First Top up $5" 按钮 10: 点击右上角X (关闭complete_task_page) 1023新增 11:进入任务页面 1106新增 game id: <int>传对应任务的游戏id number: <int> 传对应任务id status: <int> 渠道 1: 从游戏房进入 0822 2: 从inbox进入 (inbox > activity > 点击check按钮) 2.从activity进入 (activity > 点击check按钮) 3: 从mepage进入 4: 从alert_banner进入 5: 新用户自动打开 1120新增 6：荣耀榜 7：app外push notification |  |  |  |  | 
126 | win_reward_page | 中奖环节页面 H5 | { user_id:<int>, game_id: <int>, type :< int >, session_id: <int>, ｝ | type:<int> 1: 点击"Claim"按钮 2: 点击右上角X (关闭win_reward_page) 1023新增 3: 进入中奖环节页面 |  |  |  |  | 
127 | reward_email_page | 在"enter your email" 礼品卡页面 H5 | { user_id:<int>, game_id: <int>, type :< int >, session_id: <int>, ｝ | type:<int> 1: 在"enter your email" 礼品卡页面点击send code按钮 2. 在"enter your email" 礼品卡页面点击confirm按钮 3: 点击右上角X (关闭reward_email_page) 1023新增 4:进入reward email page |  |  |  |  | 
128 | reward_sent_page | 点击confirm按钮后弹出"sent successfully" 页面。礼品卡送到用户邮箱。 H5 | { user_id:<int>, game_id: <int>, type :< int >, session_id: <int>, ｝ | type:<int> 1: 进入"sent successfully" 页面 2: 点击右上角X (关闭reward_sent_page) amount |  |  |  |  | 
0822 | 以下为新增埋点，原有埋点也有部分修改，可查找 0822 关键字 |  |  |  |  |  |  |  | 
129 | spin_wheel_click | 在play page点击spin wheel icon 进入 spin wheel page | { user_id:<int>, game_id: <int>, session_id: <int>, ｝ |  |  |  |  |  | 
130 | failed_task_page | 任务失败页面 | { user_id:<int>, type :< int >, ｝ | type: <int> 1: 点击ok按钮 2: 点击右上角X (关闭failed_task_page) |  |  |  |  | 
0826 | 原有埋点也有部分修改，可查找 0826 关键字 |  |  |  |  |  |  |  | 
0901 |  |  |  |  |  |  |  |  | 
131 | set_up_profile_page | 在选礼卡页面点击select按钮再点击google或apple注册后弹出set up profile 1021修改含义 注册成功后弹出set up profile页面 | { 1021新增 user_id<int>, type :< int >, content :<string> ｝ | type: <int> 1: 进入set up profile page 2:点击 continue save 按钮 （1021修改） content:<string>点击 continue save 时选中的性别 （ 1021修改 ） content:"Female" content: "Male" 1021新增 content: "N/A" |  |  |  |  | 
0905 | 原有埋点也有部分修改，可查找 0905 关键字 |  |  |  |  |  |  |  | 
132 | add_friend_friend_suggest | 在好友推荐(friends suggestion)页面点击add按钮 | { other_user_id :<int> } |  |  |  |  |  | 
133 | add_friend_half_profile | 在好友推荐(friends suggestion)页面点击推荐好友头衔，在半屏点击add按钮 | { other_user_id :<int> } |  |  |  |  |  | 
134 | half_view_game | 在play page 点击任何游戏弹出半屏 并点击share按钮 1016删除部分 | { type: <int> game_id: <int>, ｝ | type: <int> 1: 点击like 2: 点击favourite 3: 点击share game_id: <int> |  |  |  |  | 
0912 | 原有埋点有部分修改，可查找 0912 关键字 |  |  |  |  |  |  |  | 
0919 | 原有埋点有部分修改，可查找 0919 关键字 |  |  |  |  |  |  |  | 
0924需求 | 新增以下埋点 |  |  |  |  |  |  |  | 
135 | recommended_load | play页首屏加载完成 | { user_id:<int>, amount：<float>, 1027新增 content:<string> } | amount:<float>毫秒，从进入play页到加载完成的时长 1027新增 content:<string> 每种数据通过 ｜间隔 格式: packet loss (丢包率%) | download bandwidth (下载带宽Mbps) | round trip time (往返延迟时间毫秒) | latency (延时长毫秒) 例子: “ 0.15 | 20 | 1000 | 2000 ” 表示: packet loss = 15%, download bandwidth = 20Mbps, round trip time = 1000ms, latency = 2000ms |  |  |  |  | 
136 | recommended_swipe | 在recommended for you部分用户上滑或下滑（可设置阈值，如滑动超过一定距离再触发） | { user_id:<int>, content: <string>, adjust_id:<string>, 1023新增 sub_content:< string > } | content：滑动后(停止时)当前页面展示的游戏id adjust_id ：滑动后展示的最后一个游戏所处的排序 1023新增 sub_content:<string>, 批量游戏数据上传，每种数据通过 | 间隔 格式： “玩家人数,玩家人数 | PK玩家人数，PK玩家人数 | 标签种类,标签种类” 例子：“ 5,6|7,8|1,2 ” 《==》content : "123,456" 表示：gameId=123的玩家人数是5，PK玩家人数：7，标签种类：1 gameId=456 的玩家人数是6，PK玩家人数：8，标签种类：2 PK玩家人数，如果不是pk游戏可以传 -1 标签种类： 0：没有 1：new 2：like （点赞大拇指） 3：PK |  |  |  |  | 
137 | recommended_click_game | 用户点击某个游戏卡片 | { user_id:<int>, game_id: <int>, number <int> 1023新增 sub_content:< string > } | game_id：点击游戏卡片的游戏id number <int>： 游戏所处的排序 1023新增 sub_content:< string >：用竖线 | 隔开数据 格式： “游戏人数 | pk人数 | 游戏标签种类” 例子：“1000|2000|2” 表示 1000游戏人数，2000PK人数，like游戏标签 PK人数，如果不是pk游戏可以传 -1 标签种类： 0：没有 1：new 2：like （点赞大拇指） 3：PK |  |  |  |  | 
0926需求 | 原有埋点有部分修改，可查找 0926 关键字 |  |  |  |  |  |  |  | 
138 | pk_invitation | 收到挑战邀请提示 1015 含义修改 PK邀请弹窗 | { user_id:<int>, other_user_id :<int> 1015删除 game_id: <int>, number <int>, type: <int> 1015新增字段 status:<int> 1219新增 amount :<int> } | other_user_id :<int> 对手id 1015删除 number <int>：pk_id type： 1：展示 2：点击Accept 3：点击关闭 1015新增 status:<int> 1: 1v1 2: 2v2 3: Multiplayer 1219新增 amount :<int> 能量值 |  |  |  |  | 
139 | pk_summary | PK结束页面 | { user_id:<int>, other_user_id :<int> game_id: <int>, number <int>, status : <int>, type: <int>, 1015新增 amount:<int> } | other_user_id :<int> 对手id number <int>：pk_id 1023修改 status : 1:win（1V1） 2:lose （1V1） 3: leaderboard 排名 （多人） 4: team win (2v2) 5: team lose (2v2 type： 1：展示 2：点击play again 3：点击share 1015新增 4: 点击返回 1015新增 amount:<int> PK时长 （从匹配成功到结束页面展示) |  |  |  |  | 
140 | pk_tool | pk tool bar | { user_id:<int>, other_user_id :<int> game_id: <int>, number <int>, type: <int> } | other_user_id :<int> 对手id number <int>：pk_id，type ==1 ,类型是展示时，不存在，可以不传 type： 1：展示 2：点击play now 3：点击关闭 4：点击cancel |  |  |  |  | 
141 | pk_leave | pk中返回的二次确认弹窗 | { user_id:<int>, other_user_id :<int> game_id: <int>, number <int>, type: <int> } | other_user_id :<int> 对手id number <int>：pk_id type： 1：展示 2：点击leave_game |  |  |  |  | 
1013需求 |  |  |  |  |  |  |  |  | 
142 | spin_wheel_page_load_complete | 转轮页面加载完成 | { amount：<int> 1027新增 content: <string> } | amount:<int>加载完成时长(亳秒) 1027新增 content:<string> 每种数据通过 ｜间隔 格式: packet loss (丢包率%) | download bandwidth (下载带宽Mbps) | round trip time (往返延迟时间毫秒) | latency (延时长毫秒) 例子: “0.15 | 20 | 1000 | 2000” 表示: packet loss = 15%, download bandwidth = 20Mbps, round trip time = 1000ms, latency = 2000ms |  |  |  |  | 
143 | gift_card_page_load_complete | 选礼品卡页面加载完成 | { amount：<int> 1027新增 content: <string> } | amount:<int>加载完成时长(亳秒) 1027新增 content:<string> 每种数据通过 ｜间隔 格式: packet loss (丢包率%) | download bandwidth (下载带宽Mbps) | round trip time (往返延迟时间毫秒) | latency (延时长毫秒) 例子: “ 0.15 | 20 | 1000 | 2000 ” 表示: packet loss = 15%, download bandwidth = 20Mbps, round trip time = 1000ms, latency = 2000ms |  |  |  |  | 
144 | push_notification | 通知feed | { user_id:<int>, type: <int>, status: <int> 1110新增 content: <string> 1209补充 number <int> } | status:<int> 1:展示 2: 点击 1110新增 3:消息到达客户端 1110新字段 content: <string>：客户端自己用来排查问题使用，没有可不传 type:<int> 对应 push notification的 text id 1209补充说明 number 判断PN出现在app内还是app外 1：in-app 2：out-app 此字段只在andriod端有记录，个别机型后台退出后只启动app不会传递事件导致无记录 |  |  |  |  | 
1015需求 | 原有埋点有部分修改，可查找 1015 关键字 |  |  |  |  |  |  |  | 
145 | swipe_page_load_complete | swipe页面加载成功。成功定义是: 1) 每次刷到游戏，画面成功展示 (全部游戏) 260127 定义修改 swipe首屏渲染完成 | { user_id:<int>, game_id: <int>, amount：<int>, number <int>, 1027新增 content:<string> } | amount:<int> 加载成功时间 （毫秒） 260127 完成所需时间 number:<int> 记录用户在被 Swipe 到时，该游戏在列表中的位置(第几位) 1027新增 content:<string> 每种数据通过 ｜间隔 格式: packet loss (丢包率%) | download bandwidth (下载带宽Mbps) | round trip time (往返延迟时间毫秒) | latency (延时长毫秒) 例子: “0.15 | 20 | 1000 | 2000” 表示: packet loss = 15%, download bandwidth = 20Mbps, round trip time = 1000ms, latency = 2000ms |  |  |  |  | 
146 | swipe_screen_button | 1113 删除 play now , battle 按钮 | { user_id:<int> game_id:<int> type:<int> status:<int> 1127新增 session_id:<string> pk_id:<string> } | type:<int> 1: Play Now （1113删除） 2: Battle status:<int> 1: 展示 2: 点击 1127新增 session_id:<string> 游戏的room_id pk_id:<string> pk的id |  |  |  |  | 
147 | select_mode_page | 点击Battle按钮后展示PK Mode选项页面 | { user_id :<int> game_id:<int> session_id:< string > type:<int> 1127新增 pk_id:<string> } | type:<int>: 1: 展示select mode页面 2: 点击1v1 3. 点击2v2 4: 点击Multiplayer status: 1: 有人在PK模式 (Join Battle状态) 2: 没人在PK模式 (Start Battle状态) 1127新增 session_id:<string> 游戏的room_id pk_id:<string> pk的id |  |  |  |  | 
148 | matching_page_1v1 | 1v1PK游戏匹配页面 | { user_id :<int> game_id:<int> session_id:< string > type:<int> amount:<int> 1127新增 pk_id:<string> } | type:<int>: 进度 1: 展示匹配中页面 2: 展示匹配成功，启动中 3. 展示游戏即将开始 4: 展示超时了 5: 点击左上角返回按钮 amount:<int> 从匹配到游戏开始的时长 （毫秒） 1127新增 session_id:<string> 游戏的room_id pk_id:<string> pk的id |  |  |  |  | 
149 | matching_page_2v2 | 2v2PK游戏匹配页面 | { user_id :<int> game_id:<int> session_id:< string > type:<int> amount:<int> 1127新增 pk_id:<string> } | type:<int>: 进度 1: 展示匹配中页面 2: 展示匹配成功，启动中 3. 展示游戏即将开始 4: 展示超时了 5: 点击左上角返回按钮 amount:<int> 从匹配到游戏开始的时长 （毫秒） 1127新增 session_id:<string> 游戏的room_id pk_id:<string> pk的id |  |  |  |  | 
150 | matching_page_multiplayer | 多人PK游戏匹配页面 | { user_id :<int> game_id:<int> session_id:< string > type:<int> amount:<int> 1127新增 pk_id:<string> } | type:<int>: 进度 1: 展示匹配中页面 2: 展示匹配成功，启动中 3. 展示游戏即将开始 4: 展示超时了 5: 点击左上角返回按钮 amount:<int> 从匹配到游戏开始的时长 （毫秒） 1127新增 session_id:<string> 游戏的room_id pk_id:<string> pk的id |  |  |  |  | 
151 | accept_fail | 点击pk邀请弹窗accept按钮后的反馈 | { user_id:<int> game_id:<int> type:<int> 1127新增 session_id:<string> pk_id:<string> } | type:<int> 1: 1v1提示 (Too late! Try another match!) 2: 2v2提示 (Too late! This room is full) 3: 多人提示 (Too late! This game already started) 1127新增 session_id:<string> 游戏的room_id pk_id:<string> pk的id |  |  |  |  | 
152 | game_over_page | 玩家死亡，等待结果页面 | { user_id :<int> game_id:<int> session_id:< string > type:<int> 1127新增 pk_id:<string> } | type:<int> 1: 展示 2: 点击返回 status:<int> 1: 2v2模式 2: 多人模式 1127新增 session_id:<string> 游戏的room_id pk_id:<string> pk的id |  |  |  |  | 
153 | battle_click | 1113删除 在 play页面 或游戏里点击social box > battle按钮 | { user_id :<int> game_id:<int> session_id:< string > type:<int> 1127新增 pk_id:<string> } | type:<int> 点击battle的来源 1113删除 1: continue 2: editor choice 3: recommended 4: 在游戏里 social box 1127新增 session_id:<string> 游戏的room_id pk_id:<string> pk的id |  |  |  |  | 
154 | disconnected | 用户在App任何场景掉线时，统一提示网络异常。 | { user_id:<int>, type:<int> game_id:<int>,没有可不传 number <int>， 没有可不传 1127新增 session_id:<string> pk_id:<string> } | type:<int> 1: 展示 game_id:<int> 如果在游戏中或pk游戏中掉线，传game_id。 number:<int> 如果在pk匹配中或pk游戏中掉线，传pk_id 1127新增 session_id:<string> 游戏的room_id pk_id:<string> pk的id |  |  |  |  | 
1017需求 |  |  |  |  |  |  |  |  | 
155 | editor_game_show | 每次进入play页editor's choice模块展示的游戏 | { user_id:<int>, content: <string>, 1023新增 sub_content :< string > } | content: <string>,进入Editor's Choice模块展示的4个游戏id 例子："[123, 456, 789, 891]"，字符串类型 1023新增 sub_content:<string>, 批量游戏数据上传，每种数据通过 | 间隔 格式： “玩家人数,玩家人数 | PK玩家人数，PK玩家人数 | 标签种类,标签种类” 例子：“ 5,6|7,8|1,2 ” 《==》content : "123,456" 表示：gameId=123的玩家人数是5，PK玩家人数：7，标签种类：1 gameId=456 的玩家人数是6，PK玩家人数：8，标签种类：2 PK玩家人数，如果不是pk游戏可以传 -1 标签种类： 0：没有 1：new 2：like （点赞大拇指） 3：PK |  |  |  |  | 
1021需求 | 原有埋点有部分修改，可查找 1021 关键字 |  |  |  |  |  |  |  | 
156 | need_more_spins_page | 点击Spin页面的“Need more spins?"进入Need More Spins 页面 | { user_id :<int> type:<int> session_id:<int> status:<int> 1028 新增 number:<int> } | type:<int> 1:进入页面 2:点击Tasks 3: 点击Reward History 4:点击关闭X 5: 点击任务1 6:点击任务2 7:点击任务3 8:点击任务4 9:点击任务5 10:点击Rules 11:点击返回 status: <int> -在Tasks tab 点击游戏任务传 game id -在Reward History tab点击claim按钮传 礼品卡id 1028新增 number:<int>任务1-5配置的task id |  |  |  |  | 
157 | gamification_rules_page | 点击Need more spins 页面的“Rules"进入Rules 页面 | { user_id :<int> type:<int> session_id:<int> } | type:<int> 1.进入项面 2: 点击返回 |  |  |  |  | 
158 | old_user_spin_wheel_page | 老用户转轮页面 | { user_id:<int>, game_id: <int>, type :< int >, session_id: <int>, status: <int>, 1203新增 status_user :< int >, number:<int> ｝ | type:<int> 1:点击spin绿按钮 2:点击整个转盘 3:点击右上角X(关闭spin wheel page) 4:进入spin页面 5: 点击 Need more spin? 1113新增 type=6 点击reward history 1203新增 7: 点击左上角返回老用户任务页面 status: <int> 渠道 1:从游戏房进入 2:从play页-小铃铛activity进入 3:从play page-转盘进入 4:从alert banner进入(顶部的feed提示) 5:新用户自动打开 1203新增 6-从congratuslation页面进入 7-从老用户任务页面进入 1203新增 status_user:<int>, 区别新老用户 1-新用户 new_user 2-老用户 old_user number:<int> 用户当前持有的spin数量" |  | 新增type=6 点击reward history |  |  | 
1023需求 | 原有埋点有部分修改，可查找 1023 关键字 |  |  |  |  |  |  |  | 
